"time","timePretty","ANGLE","isReviewed","isReviewedPositiveSighting"
"1539861996598",,"UPROAD",,
"1539649542462",,"UPROAD",,
"1539835820121",,"UPROAD",,
"1539817270009",,"CLOSE",,
"1539771725852",,"UPROAD",,
"1539804458414",,"CLOSE",,
"1539862899807",,"UPROAD",,
"1539626938327",,"CLOSE",,
"1539666926452",,"CLOSE",,
"1539628480792",,"CLOSE",,
"1539723242194",,"CLOSE",,
"1539809225992",,"CLOSE",,
"1539840780915",,"CLOSE",,
"1539932722719",,"UPROAD",,
